iteration,wallclock_s,games,avg_moves,buffer_size,loss_policy,loss_value,entropy_policy,wr_random,wr_policy_random,wr_mcts200,wr_best,elo,gated
0,138.6,128,23.98,3069,1.8528,0.8098,1.8169,0.975,0.75,0.5,0.65,973.8,1
1,287.0,128,22.21,5912,1.7921,0.5295,1.7805,1.0,0.95,0.5,0.625,982.3,1
2,439.6,128,22.59,8804,1.7336,0.4095,1.731,0.975,0.9,0.375,0.4125,885.7,0
3,596.3,128,25.24,12035,1.6772,0.4412,1.6719,1.0,0.875,0.6125,0.7125,1060.6,1
4,753.8,128,22.88,14964,1.6346,0.3798,1.6316,1.0,0.9,0.45,0.6375,947.9,1
5,915.0,128,25.77,18263,1.5965,0.3903,1.587,0.95,0.925,0.5875,0.6,1016.7,1
6,1080.8,128,25.22,21491,1.5673,0.408,1.5624,0.975,0.925,0.5625,0.6125,1016.7,1
7,1246.2,128,25.95,24813,1.5471,0.4201,1.542,1.0,0.925,0.675,0.5125,1107.1,0
8,1404.8,128,22.44,27685,1.5243,0.4098,1.5187,1.0,0.925,0.575,0.75,1034.1,1
9,1571.7,128,26.97,31137,1.5155,0.4342,1.5093,1.0,0.975,0.6375,0.675,1078.8,1
10,1737.2,128,25.83,34443,1.4987,0.4251,1.4929,1.0,0.975,0.6,0.55,1051.7,0
11,1907.3,128,25.61,37721,1.483,0.4331,1.4762,1.0,0.95,0.5625,0.675,1025.4,1
12,2081.0,128,26.23,41079,1.4649,0.422,1.4617,1.0,0.925,0.5125,0.5375,990.9,0
13,2255.5,128,27.91,44651,1.4561,0.4175,1.4458,1.0,0.975,0.725,0.6125,1147.4,1
14,2434.3,128,28.41,48287,1.4426,0.428,1.4421,1.0,0.975,0.675,0.45,1107.1,0
15,2614.9,128,28.59,51947,1.4348,0.4181,1.4268,1.0,0.925,0.775,0.4125,1192.2,0
16,2796.4,128,27.33,55445,1.4129,0.4302,1.408,1.0,0.975,0.8875,0.675,1327.4,1
17,2974.8,128,28.41,59081,1.3995,0.4145,1.3936,1.0,0.975,0.9,0.45,1348.1,0
18,3158.7,128,28.48,62727,1.3754,0.4221,1.3707,1.0,1.0,0.7875,0.5875,1204.4,1
19,3344.1,128,28.11,66325,1.3794,0.4242,1.3796,1.0,0.95,0.775,0.6125,1192.2,1
20,3539.9,128,31.32,70334,1.3545,0.4192,1.3486,1.0,0.975,0.8625,0.4625,1290.7,0
21,3726.1,128,27.02,73792,1.3512,0.4277,1.3463,1.0,0.9875,0.75,0.6625,1169.1,1
22,3918.4,128,29.34,77547,1.3341,0.4316,1.33,1.0,1.0,0.85,0.575,1274.3,1
23,4103.3,128,28.2,81157,1.3223,0.4232,1.321,1.0,1.0,0.9,0.55,1348.1,0
24,4296.3,128,29.27,84903,1.3146,0.4428,1.3123,1.0,1.0,0.7125,0.5375,1137.0,0
25,4492.9,128,31.77,88969,1.308,0.4439,1.3028,1.0,1.0,0.9125,0.525,1371.0,0
26,4691.3,128,31.34,92980,1.3009,0.4425,1.2968,1.0,0.975,0.7875,0.7,1204.4,1
27,4891.3,128,30.7,96910,1.2885,0.4444,1.284,1.0,1.0,0.8375,0.45,1258.8,0
28,5083.4,128,29.38,100671,1.2797,0.431,1.2762,1.0,0.975,0.8625,0.6875,1290.7,1
29,5274.3,128,31.1,104652,1.2805,0.4399,1.2776,1.0,1.0,0.8375,0.65,1258.8,1
30,5466.9,128,32.3,108786,1.2623,0.4299,1.262,1.0,0.95,0.825,0.375,1244.2,0
31,5657.0,128,30.51,112691,1.2661,0.4408,1.2591,1.0,0.975,0.775,0.6,1192.2,1
32,5858.5,128,32.23,116817,1.2611,0.4445,1.259,1.0,1.0,0.9,0.5,1348.1,0
33,6064.2,128,34.09,121180,1.2489,0.4281,1.2465,1.0,1.0,0.9125,0.675,1371.0,1
34,6261.5,128,31.66,125232,1.2426,0.4401,1.2381,1.0,1.0,0.825,0.45,1244.2,0
35,6462.1,128,32.59,129403,1.239,0.4326,1.2371,1.0,0.975,0.8625,0.5125,1290.7,0
36,6655.3,128,30.48,133304,1.2456,0.4384,1.2424,1.0,1.0,0.925,0.6125,1396.6,1
37,6858.9,128,32.77,137498,1.2328,0.4325,1.2348,1.0,1.0,0.9,0.3875,1348.1,0
38,7053.7,128,31.16,141486,1.2279,0.4259,1.222,1.0,1.0,0.95,0.6625,1459.7,1
39,7254.4,128,30.38,145375,1.2322,0.4421,1.2314,1.0,1.0,0.875,0.3,1308.4,0
40,7447.9,128,30.67,149301,1.2143,0.4354,1.2115,1.0,1.0,0.9,0.6625,1348.1,1
41,7639.8,128,30.68,150000,1.2126,0.4415,1.2125,1.0,1.0,0.8875,0.4625,1327.4,0
42,7836.3,128,31.91,150000,1.1783,0.4161,1.1768,1.0,1.0,0.9,0.6875,1348.1,1
43,8038.2,128,31.24,150000,1.1698,0.4227,1.1678,1.0,0.975,0.9375,0.4625,1425.7,0
44,8244.3,128,31.56,150000,1.1601,0.4288,1.1606,1.0,1.0,0.9625,0.15,1500.7,0
45,8455.6,128,33.29,150000,1.1358,0.411,1.1322,1.0,0.975,0.925,0.75,1396.6,1
46,8661.8,128,30.91,150000,1.1349,0.4238,1.1355,1.0,1.0,0.975,0.4,1553.0,0
47,8871.7,128,32.07,150000,1.1222,0.4159,1.1193,1.0,1.0,0.85,0.4,1274.3,0
48,9074.3,128,30.09,150000,1.1123,0.4285,1.1112,1.0,1.0,0.9,0.6875,1348.1,1
